이번 본선 1차는 음원 존나게 건지겠노 ㅋㅋㅋ     로테이크클.. 
쿤타개같이멸망ㅋㅋㅋㅋㅋㅋㅋ     ㅇㅇ(121.131) 
이건 랩이지 병신들아     ㅇㅇ(118.235) 
가요더머니임?     ㅇㅇ(182.231) 
만남은 쉽고 이별은 어려워<<< 미친듯이 좋으면 개추 ㅋㅋ     ㅇㅇ(125.130) 
혐따 ㅈ발랐네 이게 랩이지     ㅇㅇ(112.72) 
음원으로 흥하겠다     ㅇㅇ(223.39) 
음색 사기네      ㅇㅇ(223.39) 
비오줌들아 이건 랩이냐?     ㅇㅇ(112.187) 
팩트) 비오가 쿤타보단 힙합임     인중 
눈호강제대로설렘 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ     €아라한 
마이노 제거버전 입갤 ㅋㅋㅋ     ㅇㅇ(112.164) 
피처링 이무진 데려오지     ㅇㅇ(210.223) 
===11/20 00:50:33===
마이노 입갤ㅋㅋㅋ     ㅇㅇ(211.58) 
시발 진짜 애미없네 오늘부로 쇼미안본다     ㅇㅇ(223.33) 
피쳐링이 쌉구리노 ㅋㅋㅋㅋㅋ     ㅇㅇ(211.36) 
?     ㅇ(121.151) 
뭔가 맘에 안들지만     ㅇㅇ(112.157) 
이거 왜 망함?     ㅇㅇ(210.117) 
랩이 좀 들어간다고 힙합이냐? 아이돌 노래도 힙합이야?     ㅇㅇ(121.188) 
근데 이번시즌 쇼미 개좆망이긴하다 ㄷㄷ     ㅇㅇ(125.128) 
70years old 이거 아니냐?     ㅇㅇ(61.84) 
회전목마 개같이 멸망 ㅋㅋㅋㅋㅋㅋㅋ     ㅇㅇ(211.36) 
머드 베이식 빼고 두시간동안 랩을 한새끼들이 없음 ㅋㅋ     ㅇㅇ(110.11) 
아니 노래 존나좋은데?     ㅇㅇ(121.132) 
씨발 힙한아닌거 인정하는데 노래 씨발 좋노ㅋㅋㅋㅋ     ㅇㅇ(39.124) 
오히려 송민호가 랩을하노 ㅋㅋㅋㅋㅋ     ㅇㅇ(118.44) 
보정 너무 심한거 같지 않냐?     ㅇㅇ(125.135) 
소코도모 <<< 왜 욕처먹었냐?     ㅇㅇ(14.49) 
지드래곤은 왜저평가 당했던거냐? ㅋㅋㅋ     ㅇㅇ(211.228) 
===11/20 00:50:39===
영화 OST 느낌이네 존나 잘 만들긴 했다     ㅇㅇ(14.50) 
