팀 옮김 ㅋㅋㅋㅋㅋㅋ     ㅇㅇ(121.176) 23:42 
솔직히 리듬감은 있는데 임팩트가없다     ㅇㅇ(124.56) 23:42 
아니 결승에서 재탕을 하네      ㅇㅇ(124.58) 23:42 
나만 고독이 더 낫냐?     ㅇㅇ(39.7) 23:42 
개좋은데     ㅇㅇ(183.103) 23:42 
이벌스는 좋네     ㅇㅇ(1.227) 23:42 
더콰 일부러 힘 다빼고 랩하노 ㅋㅋㅋㅋㅋㅋㅋ     ㅇㅇ(223.62) 23:42 
좋다     ㅇㅇ(124.111) 23:42 
피처링이 금가루노ㅋㅋ 치트키네     ㅇㅇ(175.207) 23:42 
===12/18 23:42:54
쌈디듣다가 들으니 뭐노 ㅅㅂ     ㅇㅇ(182.210) 23:42 
니들보니까 오키도키떠오르네     ㅇㅇ(119.65) 23:42 
가사 싱크 존나 오락가락한데     ㅇㅇ(221.147) 23:42 
머쉬베놈 제거버전 주세요     ㅇㅇ(14.38) 23:42 
재탕이라 아쉽긴 함     ㅇㅇ(1.236) 23:42 
코쿤생일추카해     토네 23:42 
구린데 신남ㅋㅣㄱ     ㅇㅇ(59.2) 23:42 
펨코 병신들이었음? 좆구린데 ㄹㅇ     leehee! 23:42 
코쿤 상축 ㅊㅊ     필맘1호(182.225) 23:42 
관중의 중요성 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ     ㅇㅇ(223.39) 23:42 
자기팀으로 가다 ㅋㄲㅋ     등신 23:42 
곡 좋은데?     ㅇㅇ(223.38) 23:42 
폰함성ㅌㅋ     ㅇㅇ(110.70) 23:42 
야등랩퍼9ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ     ㅇㅇ 23:42 
진짜 ㅈ박았다     ㅇㅇ(112.173) 23:42 
개망 ㅋㅋㅋㅋ     ㅇㅇ(112.145) 23:42 
비트 개구린데????ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ     ㅇㅇ(112.161) 23:42 
가다가다<<이거 계속들으니까 저능아가하는말같음     ㅇㅇ(223.62) 23:42 
왜 저기앉노ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ     로흐 23:42 
결승퀄 좆망하는건 쇼미 종특이냐ㅅㅂ     ㅇㅇ(211.36) 23:42 
비트 진짜 개병신이네     24:26 23:42 
ㅋㅋ갠적으로 개좋다     ㅇㅇ(101.235) 23:42 
쌈디더콰우승ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ     ㅇㅇ(125.177) 23:42 
서든 상점 누구냐 시발 ㅋㅋㅋㅋㅋ     ㅇㅇ(180.83) 23:42 
코팔생일축하해가 찢었다     ㅇㅇ(183.106) 23:42 
이게첫무대야?     ㅇㅇ(125.190) 23:42 
이 비트를 슬로가 찍었다고?     ㅇㅇ(112.152) 23:42 
===12/18 23:43:00
쌈박자 ver.2 ㅋㅋㅋ     보키 23:42 
서든상점 ㅅㅂㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ     곰치오빠 23:42 
괜찮음     haste 23:42 
존나구린데 씨발     ㅇㅇ(119.66) 23:42 
그루비룸 거르고 슬로     무슨일이지 23:42 
다 듣고나니 괜찮은데     ㅇㅇ(119.206) 23:42 
꺄아아아아=>~(~(~(꼉아아ㅏㅏ 함성 시발     ㅇㅇ(115.143) 23:42 
비트가 개 패고싶네     ㅇㅇ(125.132) 23:42 
팀 옮겼노 ㅋㅋㅋㅋㅋㅋㅋ     ㅇㅇ(121.176) 23:42 
더콰 개좋네     ㅇㅇ(121.169) 23:42 
집으로 가다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ     KimXimya 23:42 
가다~ 머쉬 탈락가다     ㅇㅇ(121.254) 23:42 
쌈디랑 더콰 ㅈㄴ 개간지네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ     ㅇㅇ(183.91) 23:42 
가다 머쉬베놈 제거버전 존나마렵네ㅋㅋㅋㅋ     ㅇㅇ(203.170) 23:42 
머쉬삭제버전좀 씹ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ     ㅇㅇ(116.122) 23:42 
아니 저게 랩이냐 씨발? 걍 썰푸는거지     ㅇㅇ(125.129) 23:42 
코쿤 생일이였어? ㅋㅋㅋㅋ     ㅇㅇ 23:42 
진표게이 순간 표정이     ㅇㅇ(106.101) 23:42 
좆쉬제거버젼 원합니다     ㅇㅇ(121.165) 23:42 
개 구리네     ㅋㅋ(110.13) 23:42 
좋은데?     ㅇㅇ(112.185) 23:42 
[인증]쇼미9 문자투표 바로해버렸다     블루비틀 23:42 
이번 건 봐줄만하네ㄱㅋㄱㅋ     마리카 23:42 
코쿤좌 생일이였농 ㅋㅋㅋ     ㅇㅇ(183.105) 23:42 
쌈디랑 더콰왜나옴?     ★사스케★ 23:42 
나가     A.그리즈만 23:42 
더콰 존나잘하네 ㄹㅇ     ㅇㅇ(115.40) 23:42 
41% ㅋㅋㅋㅋㅋㅋ     ㅇㄹ(182.220) 23:42 
===12/18 23:43:12
진짜 구리노     ㅇㅇ(218.233) 23:43 
이거 옛날에 있던곡 아님?     ㅇㅇ(211.221) 23:43 
관객이 0명이던 이유가있네 ㅋㅋ     ㅇㅇ(125.180) 23:43 
쌈디 더콰 우승이노ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ     77세 23:43 
굿바이 머쉬베놈 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ     ㅇㅇ(45.112) 23:43 
쌈디잘하는거말고 기억이안나누 ㅋㅋㅋㅋ     ㅇㅇ(112.163) 23:43 
퍼포먼스 마무리 ㅅㅌㅊ ㅋㅋㅋㅋ     ㅇㅇ(116.124) 23:43 
뭐노 시벌 ㅋㅋㅋ     ㅇㅇ 23:43 
쌈디가 존나 잘한것같은데 ㄷㄷㄷ     ㅇㅇ(175.196) 23:43 
결승이 구려야 쇼미더머니지     ㅇㅇ(211.179) 23:43 
